Time,S1_V,S1_C,S1_P,S1_R,C_Tsur,C_I,C_V,C_R,W_Tamb,W_G,W_RH,C_Tsur_C2,C_I_C2,C_V_C2,C_R_C2,W_Tamb_C2,W_G_C2,W_RH_C2,C_Tsur_C3,C_I_C3,C_V_C3,C_R_C3,W_Tamb_C3,W_G_C3,W_RH_C3
2022-11-18 12:15:00,195.5,5.9,1153.0,33.13559322033898,26.5,7.345,4.0,0.5446610977015969,24.04,723.4625,44.245000000000005,28.0,7.25,4.0,0.5517503805175038,24.04,723.4625,44.245000000000005,25.5,7.345,6.0,0.8169007818669158,24.04,723.4625,44.245000000000005
2022-11-18 12:25:00,207.9,6.6,1372.0,31.500000000000004,26.0,8.625,4.5,0.5246685064279464,24.07,823.065,42.38250000000001,28.0,8.219999999999999,6.0,0.7308539357772095,24.07,823.065,42.38250000000001,25.0,8.645,7.0,0.8066396045175033,24.07,823.065,42.38250000000001
2022-11-18 12:30:00,207.3,5.8,1202.0,35.74137931034483,26.0,7.513333333333333,4.333333333333333,0.5768076647583963,24.298333333333336,737.6216666666666,41.626666666666665,28.0,7.41,4.666666666666667,0.6281653850632082,24.298333333333336,737.6216666666666,41.626666666666665,25.333333333333332,7.463333333333334,6.0,0.806195893007379,24.298333333333336,737.6216666666666,41.626666666666665
2022-11-18 12:35:00,208.9,5.9,1233.0,35.40677966101695,26.0,8.035,4.0,0.4981787181275672,24.380000000000003,771.3125,41.3125,28.0,7.984999999999999,5.0,0.6265870661757551,24.380000000000003,771.3125,41.3125,26.0,7.914999999999999,7.0,0.8810706454685513,24.380000000000003,771.3125,41.3125
2022-11-18 12:40:00,207.4,6.2,1286.0,33.45161290322581,27.0,7.726666666666667,4.0,0.5141957026898911,24.560000000000002,776.0333333333333,40.10333333333333,29.0,7.656666666666666,4.666666666666667,0.6104914941592505,24.560000000000002,776.0333333333333,40.10333333333333,26.0,7.666666666666667,7.333333333333333,0.9562608254105881,24.560000000000002,776.0333333333333,40.10333333333333
2022-11-18 12:45:00,206.2,5.7,1175.0,36.175438596491226,26.0,7.665,4.0,0.5220660602572529,24.53,740.0625,37.96,28.0,7.65,5.0,0.6514206988029654,24.53,740.0625,37.96,25.0,7.73,6.0,0.7762602932315726,24.53,740.0625,37.96
2022-11-18 12:50:00,206.5,5.7,1177.0,36.228070175438596,26.0,7.866666666666667,4.0,0.5103549328204927,24.5,749.0166666666668,38.66,28.333333333333332,7.873333333333334,5.0,0.6368324584365218,24.5,749.0166666666668,38.66,25.333333333333332,7.873333333333334,6.666666666666667,0.8488549966944352,24.5,749.0166666666668,38.66
2022-11-18 12:55:00,207.1,5.6,1160.0,36.98214285714286,26.0,7.825,3.5,0.44724369841223177,24.59,742.5075,37.53,28.5,7.665,4.0,0.521852798703708,24.59,742.5075,37.53,25.5,7.765,6.5,0.8367444421593149,24.59,742.5075,37.53
2022-11-18 13:00:00,208.5,5.8,1209.0,35.94827586206897,26.666666666666668,7.7700000000000005,4.333333333333333,0.5564877348200538,24.7,749.34,36.68833333333333,28.666666666666668,7.763333333333333,5.0,0.6408551832630144,24.7,749.34,36.68833333333333,26.0,7.81,6.333333333333333,0.8104094046211096,24.7,749.34,36.68833333333333
2022-11-18 13:05:00,206.9,5.8,1200.0,35.67241379310345,26.5,7.465,4.0,0.5358341318805158,24.8,743.4825,36.86,29.0,7.33,4.5,0.6131703176423284,24.8,743.4825,36.86,26.0,7.335,6.5,0.8851170176763076,24.8,743.4825,36.86
2022-11-18 13:10:00,207.5,5.8,1204.0,35.775862068965516,27.666666666666668,7.5,4.0,0.5333982010426155,25.131666666666664,761.0583333333334,35.26333333333333,30.333333333333332,7.503333333333333,5.0,0.6663944225465478,25.131666666666664,761.0583333333334,35.26333333333333,27.333333333333332,7.423333333333333,6.333333333333333,0.8528143273258788,25.131666666666664,761.0583333333334,35.26333333333333
2022-11-18 13:15:00,204.4,5.6,1145.0,36.5,28.5,7.84,4.5,0.5726822041141946,25.42,748.365,35.425,31.0,7.720000000000001,5.0,0.6484615836910232,25.42,748.365,35.425,28.0,7.800000000000001,7.000000000000001,0.8979687158225049,25.42,748.365,35.425
2022-11-18 13:20:00,194.8,5.5,1071.0,35.41818181818182,28.0,7.376666666666666,4.0,0.5389460471787713,25.416666666666668,731.7633333333333,35.199999999999996,31.0,7.57,4.666666666666667,0.6151868629898171,25.416666666666668,731.7633333333333,35.199999999999996,27.666666666666668,7.6000000000000005,6.666666666666667,0.8760988350954421,25.416666666666668,731.7633333333333,35.199999999999996
2022-11-18 13:30:00,199.7,5.7,1138.0,35.03508771929824,26.666666666666668,7.066666666666666,4.0,0.5663896278506756,25.03,703.445,35.58833333333333,29.0,7.05,3.6666666666666665,0.5209222287435106,25.03,703.445,35.58833333333333,26.0,7.086666666666666,6.333333333333333,0.8931995651597203,25.03,703.445,35.58833333333333
2022-11-18 13:35:00,183.0,6.8,1244.0,26.911764705882355,26.5,7.165,4.0,0.5582718117537059,25.08,709.7950000000001,35.545,29.0,7.285,4.0,0.5490943899663081,25.08,709.7950000000001,35.545,26.0,7.33,7.000000000000001,0.954981313559953,25.08,709.7950000000001,35.545
2022-11-18 13:40:00,178.7,6.6,1179.0,27.075757575757574,26.666666666666668,7.223333333333334,4.333333333333333,0.5996498449511872,25.19,701.8183333333333,35.42333333333334,29.0,7.256666666666667,3.3333333333333335,0.45965413335962263,25.19,701.8183333333333,35.42333333333334,26.0,7.169999999999999,6.666666666666667,0.9286019710574985,25.19,701.8183333333333,35.42333333333334
2022-11-18 13:45:00,175.9,6.0,1055.0,29.316666666666666,27.0,7.1,4.0,0.5633813992886318,25.200000000000003,687.3349999999999,35.5475,29.0,7.01,3.0,0.42798183061443784,25.200000000000003,687.3349999999999,35.5475,26.0,7.135,6.0,0.8409287341871612,25.200000000000003,687.3349999999999,35.5475
2022-11-18 13:50:00,184.5,5.7,1052.0,32.368421052631575,27.333333333333332,6.45,4.0,0.6206146492756405,25.19,639.6466666666666,34.93666666666667,29.0,6.386666666666667,3.0,0.46986963703197376,25.19,639.6466666666666,34.93666666666667,26.333333333333332,6.46,5.333333333333333,0.8271260043662295,25.19,639.6466666666666,34.93666666666667
2022-11-18 13:55:00,180.1,5.5,991.0,32.74545454545454,28.0,6.4399999999999995,3.5,0.5411744245870239,25.48,640.95,34.1425,30.0,6.48,3.0,0.46324538660973,25.48,640.95,34.1425,27.0,6.42,5.5,0.8584534731323723,25.48,640.95,34.1425
2022-11-18 14:05:00,174.7,6.0,1048.0,29.116666666666664,27.5,6.33,4.0,0.6321781683811045,25.6,635.58,33.105000000000004,29.0,6.37,3.0,0.4709576138147566,25.6,651.69,33.165,26.0,6.3,5.0,0.7937007874015749,25.6,635.58,33.105000000000004
2022-11-18 14:10:00,184.9,5.6,1035.0,33.017857142857146,27.333333333333332,6.47,3.6666666666666665,0.5654511502464719,25.62,630.5333333333333,32.39333333333334,29.0,6.19,3.0,0.4846526655896607,25.54,638.02,32.739999999999995,26.0,6.3933333333333335,5.333333333333333,0.8329234917613032,25.62,630.5333333333333,32.39333333333334
